E_bomb_erg,IE_erg,KE_erg,M_Ar_orich,M_Ar_total,M_C_orich,M_C_total,M_Ca_orich,M_Ca_total,M_Cr_orich,M_Cr_total,M_Fe_orich,M_Fe_total,M_He_orich,M_He_total,M_Mg_orich,M_Mg_total,M_Ne_orich,M_Ne_total,M_Ni_orich,M_Ni_total,M_O_orich,M_O_total,M_S_orich,M_S_total,M_Si_orich,M_Si_total,M_Ti_orich,M_Ti_total,M_ejecta_msun,M_orich_total,Mg_Ne,Mg_Ne_paper,Mg_Ne_ratio_to_paper,Si_Ne,mass_cut,nr,nz_orich,t_final,wall_s,zams
2e+51,1.8328975460346923e+51,1.1640828378372519e+51,0.004232619926903178,0.005382506786567554,0.03766556633980461,0.11893655394626203,3.158493719119871e-05,0.0005670399734146821,8.825970056821883e-06,0.00028187069642087044,0.00037575748725357457,0.012024847254773268,0.0034531324213074917,8.767490069800026,0.002954525120736328,0.008872899105683613,0.04349732332606095,0.05898935332735367,4.483881505126881e-13,4.483881579103537e-13,0.19375671958477603,0.24002725284287338,0.0015359472334281622,0.004834668905180314,0.0006409938574302942,0.0069040992685690215,0.0001120329438804386,0.00016925094924274788,9.224480590246355,0.2882650184451986,0.06792429728580923,0.3,0.22641432428603078,0.014736397746255105,1.8,128,4,10.0,2.1628477573394775,12.02
4e+51,3.665290240364562e+51,2.24523910080997e+51,0.0012436700336361992,0.0025462619422270414,0.035970837631205343,0.11723561961247818,2.969027355903997e-05,0.0005645124379153803,0.00011444849750042248,0.0003874932245851335,0.0002920161534772223,0.011941105920996916,0.001767840804263589,8.765493444756435,9.874105376215979e-05,0.005953444829173986,0.01327668834196426,0.02946483771743452,1.9419645385363777e-09,1.9419645424229007e-09,0.21644866077838906,0.26209578364197395,2.72414409678029e-05,0.003362949386888669,5.150599299594021e-05,0.006259864200171372,0.018943679987765406,0.019175096373049184,9.224480590246355,0.2882650184451986,0.007437174935413995,0.3,0.02479058311804665,0.0038794307487916824,1.8,128,4,10.0,1.4563519954681396,12.02
5e+50,2.1943119250198375e+50,2.6125883688574106e+50,0.0001207486007733825,0.0022121837724008333,0.0611327875401663,0.13498352648840423,5.1948233536485e-05,0.0006089148567952651,2.606362588647146e-05,0.05956186472753589,0.0011119741812587011,0.016760231721943044,0.009743801033984164,8.765784269098765,0.07921734648470835,0.08553627395091824,0.07242363483892282,0.08808216871551414,6.179715493648492e-20,5.085492974476785e-05,0.6028647325759333,0.6484893019979583,0.0010315328765868501,0.038386644042386994,0.025286941178981764,0.0712989341975566,2.8106947227537295e-06,0.014229612967044067,9.925984729009553,0.8530143126492583,1.093805173696341,0.75,1.458406898261788,0.3491531629863976,1.4,128,11,10.0,75.14159965515137,12.75
1e+51,3.7002579338160738e+50,6.6227780796652465e+50,0.0005600276325406889,0.011348197171174348,0.06113272980776989,0.134953841462033,5.076919250073586e-05,0.0010604259634032693,2.6063634416614587e-05,0.05810838267497314,0.0011119741812587011,0.017466873431347035,0.009679601625879055,8.765672841917356,0.0792171758818712,0.08517207715246039,0.07242505658967188,0.08808333899467378,6.795081670806063e-20,4.983615148714414e-05,0.6028635926386247,0.6464027377043559,0.0007601842251398788,0.059839562240862405,0.025182894525362008,0.042860748259848064,4.245746446446467e-06,0.01496590638332259,9.925984729009553,0.8530143126492583,1.0937813460151014,0.75,1.4583751280201351,0.34770969759867876,1.4,128,11,10.0,70.36382555961609,12.75
2e+51,6.546129216086302e+50,1.342095980684035e+51,0.0007254242804086674,0.03769643266559166,0.06112415246255358,0.13492583393925736,4.579808990878668e-05,0.0240591485578949,3.187676798647011e-05,0.06244735790362949,0.001105656447072198,0.014718741261443532,0.009640117919749194,8.765637437713401,0.07885808012034959,0.0847109107685847,0.07206865437879023,0.0877269088718744,4.478742979673221e-15,1.4752843768372909e-05,0.6031413185894721,0.6465975145016446,0.0008857752169429345,0.01398671376386163,0.02537406207188437,0.03171488754497546,1.3414075487911334e-05,0.021748141677369073,9.925984729009553,0.8530143126492583,1.094207749542185,0.75,1.4589436660562465,0.3520818071407192,1.4,128,11,10.0,70.26796102523804,12.75
4e+51,9.014993657290954e+50,1.9036160776285232e+51,0.0008253229384854928,0.023548572508272463,0.06110072927950395,0.1349025082812894,9.472600797721969e-05,0.028954566714562664,5.289174026022542e-05,0.062098153764241486,0.0009987981829502964,0.014950044278562597,0.009533065398979282,8.765472915059346,0.07635300196990608,0.08216332911324409,0.06932306201214404,0.08498163601492291,4.872410054882072e-14,2.3231146933110673e-05,0.6043515132588543,0.6478072121882785,0.003869093323394546,0.009715340353520528,0.026478711143577766,0.03272901543977443,3.340738561774539e-05,0.03863825044714072,9.925984729009553,0.8530143126492583,1.1014083878252598,0.75,1.4685445171003464,0.38196107291018416,1.4,128,11,10.0,70.66250228881836,12.75
5e+50,3.0216368824989054e+50,3.5620382330451566e+50,0.0004394120269066547,0.0011313894616814771,0.038869900783943506,0.15422673315536248,4.5899009983542586e-05,0.0005912991325650898,5.441616954696234e-05,0.00032837529869279787,0.0009562383407993093,0.012644339885731999,0.004754952698514478,8.755779359793628,0.07416531266916888,0.08015241438532254,0.07211633318054736,0.08847043456378718,1.765189750592988e-13,1.765189750592988e-13,0.545148548588893,0.599413696028885,0.004313206945097903,0.007839936359337111,0.018974829756442026,0.025372859466957928,3.5091523106999218e-06,3.3912073758598286e-05,9.725984729009552,0.7598425569538713,1.028412141858236,0.75,1.3712161891443146,0.26311417843357976,1.6,128,10,10.0,29.090421199798584,12.75
1e+51,5.3245477116615886e+50,7.589581906358687e+50,0.0006772085657157918,0.0016467670331605537,0.038853783319719906,0.15421065474704632,9.675273596601007e-05,0.0006415180062920094,8.752698598594555e-05,0.00036148611513178117,0.0008259330394980076,0.012514034584430697,0.00473186177553998,8.755692890402978,0.07397565269964973,0.07989198437373969,0.0720874287910666,0.08844155372942569,4.680026752684751e-13,4.680026752684754e-13,0.544788413610599,0.5990535481340274,0.004728222735074227,0.008173186768295126,0.018981232906639587,0.025317468897951435,8.541606737847198e-06,3.966280021231403e-05,9.725984729009552,0.7598425569538713,1.0261935255598564,0.75,1.3682580340798085,0.2633085022584663,1.6,128,10,10.0,42.43281960487366,12.75
2e+51,1.0993797522768135e+51,1.499538772897616e+51,0.0013415884382787385,0.0025959320102349756,0.038981331767865675,0.15433827651999882,7.715616710168605e-05,0.0006157560270504806,1.8919610161593197e-05,0.00029287873930742875,0.0007924054577648482,0.012480507002697537,0.004680847465807143,8.755556902900102,0.06181929278470639,0.06764639096052576,0.07075942233250009,0.0871166451489639,1.0149920850745519e-14,1.014992085264159e-14,0.5322698175241447,0.5865324286377958,0.021065625517559645,0.02454945359881411,0.028022145231671645,0.03420676281679329,1.3987114534742146e-05,5.2802022698382074e-05,9.725984729009552,0.7598425569538713,0.8736545713193667,0.75,1.1648727617591557,0.3960199830348384,1.6,128,10,10.0,42.18663811683655,12.75
4e+51,2.4393947511612094e+51,2.8580831463450047e+51,0.020874856016352878,0.022236310237385523,0.03867375324825985,0.15402999203067336,0.02094471972924367,0.021478644554750202,0.028341797835981345,0.028615756965127182,0.001010617588760724,0.012698719133693413,0.00411955548461543,8.754960726547122,0.04805945604684781,0.05390050137093726,0.06322488310189472,0.07969546834911562,6.236004439851931e-07,6.236004439851969e-07,0.44816354284779997,0.5023324623720407,0.010168996327228265,0.013498969104908626,0.010761717206239814,0.016980197563829583,0.06549806142849193,0.06555640973676873,9.725984729009552,0.7598425569538713,0.7601351507347834,0.75,1.0135135343130446,0.17021331915941978,1.6,128,10,10.0,47.1153609752655,12.75
5e+50,3.9795602448629105e+50,3.779123614732357e+50,0.00016852488796323595,0.0008833816326533503,0.05379424045841883,0.1281772532296955,3.6126974838566565e-05,0.0005793383020457403,1.8191565400291153e-05,0.0002910650352413951,0.0007761188890632331,0.01241790222501173,0.004831130021571002,8.772825878947847,0.04479145936893075,0.05075397231418966,0.06428524390713734,0.08015609009849532,1.0475597780058784e-18,1.0475597780059212e-18,0.4181858177676434,0.4615164391866701,0.0009010527443895365,0.0044114240873480495,0.007584001801437645,0.01393955713293522,2.1334042639967796e-06,3.2446267479798226e-05,9.525984729009553,0.595374045563097,0.6967611328290804,0.75,0.9290148437721072,0.11797422457310802,1.8,128,8,10.0,4.39326286315918,12.75
1e+51,7.1321693046254615e+50,7.983562649278759e+50,0.000758303844907314,0.001750791210439433,0.05379299054503193,0.12817613027982383,3.4445631835938367e-05,0.0005765823914990195,1.8192244126703094e-05,0.00029106571396780704,0.000776118144845676,0.01241790148079417,0.004751749246606608,8.772679890701536,0.044349267706549844,0.050222781645419816,0.06376649078015043,0.07963733845994352,1.1382024322146347e-15,1.1382024322152747e-15,0.41860133675621747,0.4619319612272803,0.0007275941320701505,0.004156452336662948,0.007793288245083762,0.014108041796048798,4.255625617295748e-06,3.580390173627802e-05,9.525984729009553,0.595374045563097,0.695494877700799,0.75,0.9273265036010653,0.12221604403405086,1.8,128,8,10.0,6.7137627601623535,12.75
2e+51,1.2911585415628684e+51,1.6382883412747612e+51,0.0021526895836139993,0.003372917948806193,0.05377804844261043,0.12816158655706056,3.1087306796722205e-05,0.0005672133626993021,1.8580708574429205e-05,0.00029145417841553323,0.0007756969177084401,0.012417480253656936,0.004678941773214206,8.772528888289434,0.03787300423639909,0.04363689235880009,0.05319227033822669,0.06906363003969897,2.342575927029443e-13,2.3425759270599313e-13,0.4270639611133246,0.4703939690901919,0.007103863447118448,0.010591117790684558,0.008691227684315513,0.014905308630961749,1.4677401800022899e-05,5.428992730644552e-05,9.525984729009553,0.595374045563097,0.7120020257751926,0.75,0.9493360343669234,0.16339268147517952,1.8,128,8,10.0,9.175463199615479,12.75
4e+51,2.9432225002415888e+51,2.706342226131858e+51,0.0023731955033567623,0.0037554598462344823,0.05320343300620695,0.1275872545187028,5.6937447775518847e-05,0.0005899109060471304,1.3644936293504064e-05,0.0002865184061346081,0.0005820891667974338,0.01222387250274593,0.004588042356127695,8.77241685309373,0.028648546643503622,0.034453930189121906,0.043530903412118196,0.05941692643211512,5.196520437967626e-19,5.220744730014843e-19,0.43230625935321,0.47562092243999693,0.017625861628555926,0.02094869017583229,0.012417493297649672,0.018599792561174656,2.7640102980392788e-05,8.462095218424161e-05,9.525984729009553,0.595374045563097,0.658119735588313,0.75,0.8774929807844174,0.2852569628544137,1.8,128,8,10.0,25.827362775802612,12.75
