E_bomb_erg,IE_erg,KE_erg,M_Ar_orich,M_Ar_total,M_C_orich,M_C_total,M_Ca_orich,M_Ca_total,M_Cr_orich,M_Cr_total,M_Fe_orich,M_Fe_total,M_He_orich,M_He_total,M_Mg_orich,M_Mg_total,M_Ne_orich,M_Ne_total,M_Ni_orich,M_Ni_total,M_O_orich,M_O_total,M_S_orich,M_S_total,M_Si_orich,M_Si_total,M_Ti_orich,M_Ti_total,M_ejecta_msun,M_orich_total,Mg_Ne,Mg_Ne_paper,Mg_Ne_ratio_to_paper,Si_Ne,mass_cut,nr,nz_orich,t_final,wall_s,zams
2e+51,1.8320360840061598e+51,1.1639399220226438e+51,2.155203393196136e-05,0.000687589449412025,0.03766520096389374,0.11893618857035115,1.7535636709301863e-05,0.000561143144924487,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.0036108938417852353,8.767829575108008,0.012949044794194847,0.01918673913057112,0.041171753217042306,0.056664032567575996,2.6424207329816196e-14,2.642420742322906e-14,0.19144132451024598,0.23771171075318392,0.00010471488395526078,0.0032941145983163378,0.0008974338260159261,0.007271333340367798,9.768415780838607e-07,3.1247655228685824e-05,9.224480590246355,0.2882650184451986,0.31451283422234305,0.3,1.048376114074477,0.021797318692866583,1.8,128,4,10.0,0.8321847915649414,12.02
4e+51,4.309763720410885e+51,2.009707292135616e+51,2.775764037931417e-05,0.0006937951207190069,0.03597266487109101,0.11723731403425662,1.766074949260745e-05,0.0005612682584284551,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.0020861115807431327,8.766120836525445,0.02169325337904006,0.028046031643424202,0.014032421822784462,0.03023237449769998,3.2310008407877452e-12,3.2310008705657493e-12,0.20221066778071836,0.24784716230370452,0.0004382020897322141,0.003627603396757518,0.011400847024631275,0.01777618137090583,8.46803498673121e-07,3.1117617149275084e-05,9.224480590246355,0.2882650184451986,1.5459379466356047,0.3,5.153126488785349,0.812464674210385,1.8,128,4,10.0,0.8247873783111572,12.02
5e+50,2.208187543467281e+50,2.6607600005144224e+50,6.418616001735409e-05,0.007765485436841939,0.06113278754008875,0.1349349971781957,5.199281283993161e-05,0.009800247775756148,2.606362588647146e-05,0.0022669540119770845,0.0011119741812587011,0.017581187042586495,0.009852165645868162,8.766231358005651,0.07952078096864056,0.08573940289695445,0.0724236410209502,0.08808189255358986,6.180476325714957e-20,0.05577691017371885,0.6028647325759333,0.6463271295053178,0.0006697853649038392,0.031756468980586525,0.025293458533949233,0.06815516358185796,2.7612913907288236e-06,0.011567593186796786,9.925984729009553,0.8530143126492583,1.0979947962798136,0.75,1.463993061706418,0.34924312251344175,1.4,128,11,10.0,11.707794666290283,12.75
1e+51,3.6617697661402032e+50,6.494143576190611e+50,6.418616156828921e-05,0.0014242161915152412,0.061132747319145614,0.13495446332322836,5.199281283993161e-05,0.047354478995363415,2.606362588647146e-05,0.010282654039439518,0.0011119741812587011,0.030108096549093563,0.009851862438117262,8.785458895810335,0.07952084447943346,0.08573736876145914,0.07242505525354129,0.08808335228353747,1.2736147053267164e-19,0.0386450720875902,0.602863584883949,0.6463196797308464,0.0006697856750908622,0.0038593571550085567,0.025293476385212395,0.03165681624539067,2.7612913907288236e-06,0.022100340911383604,9.925984729009553,0.8530143126492583,1.0979742328266324,0.75,1.4639656437688433,0.34923654937737375,1.4,128,11,10.0,18.880338668823242,12.75
2e+51,6.2293626017877374e+50,1.26546903112566e+51,6.474411900566065e-05,0.0009913755597881714,0.06112626894801789,0.13501984977642661,5.206087097460011e-05,0.0006797005279830917,2.606362588647146e-05,0.013546301533519182,0.0011119741812587011,0.031677406366763326,0.009836604338453896,8.84290020385145,0.07938015186585587,0.08559700717630397,0.07222988764542818,0.08788827621537439,1.5171988653613988e-13,0.03669039444311149,0.6026689657911803,0.6461251358630214,0.0006976390506310161,0.003906237987228668,0.025817298438647517,0.03218963698551048,2.68644181976198e-06,0.008773274494892633,9.925984729009553,0.8530143126492583,1.0989931516372817,0.75,1.4653242021830424,0.3574323494089172,1.4,128,11,10.0,21.095420360565186,12.75
4e+51,9.646919340673036e+50,1.7903777611213358e+51,0.004242433638186615,0.005107771572685529,0.06108910525928148,0.13498520563606548,0.0004349112867485843,0.0010485848971311456,2.6063918237740433e-05,0.009274317744821457,0.0011119705365611834,0.023399391239703426,0.009754663008371871,8.861597861158902,0.07069970909086284,0.07691684149758214,0.06861088168584856,0.08426952326687338,3.3937359655015238e-09,0.030412266002858627,0.5547708938410776,0.5982267891005313,0.023582311970113658,0.02679259829309655,0.058688675344188035,0.06506091305157634,2.7157939569588095e-06,0.008892731279073625,9.925984729009553,0.8530143126492583,1.0304445498103127,0.75,1.3739260664137503,0.8553843632692008,1.4,128,11,10.0,21.2037250995636,12.75
5e+50,3.016892993196357e+50,3.5607259478413398e+50,5.7650924930030385e-05,0.0007259188404317097,0.038857756604076206,0.1542145889754952,4.6487720799819304e-05,0.0005919157227646237,2.3216874591499435e-05,0.000297176003737335,0.0009905170800790415,0.012678618625011732,0.0048267775942831236,8.755941165244993,0.07756621363006577,0.08381651568450518,0.07220387956777947,0.08855798095101931,3.7373137310065296e-13,3.7373137310065296e-13,0.5435377355571297,0.5978028829971217,0.0004727712655113658,0.0036728519629416773,0.021257233927705618,0.027652455061812124,2.320934761392552e-06,3.269312270542129e-05,9.725984729009552,0.7598425569538713,1.074266564267541,0.75,1.432355419023388,0.294405703058531,1.6,128,10,10.0,1.242856502532959,12.75
1e+51,5.356557508791524e+50,7.652009013421344e+50,0.00013124153827966746,0.0007995094537813466,0.038779774297546594,0.154136645724873,4.6677835687096835e-05,0.0005921058376519012,2.3216889788350574e-05,0.0002971760189341862,0.0009905170040947857,0.012678618549027477,0.00482533769119168,8.755939664554495,0.0698320149853637,0.07608232191039394,0.07209530756381484,0.08844943326201653,5.995324040542826e-11,5.995324040542828e-11,0.5349554278527193,0.5892205623761476,0.002518526930261238,0.005718607627691552,0.0356424206471693,0.04203764178127579,2.0890226690177057e-06,3.2461210613046446e-05,9.725984729009552,0.7598425569538713,0.9686069363606252,0.75,1.2914759151475004,0.49437920235821964,1.6,128,10,10.0,1.1939818859100342,12.75
2e+51,1.0719900153565935e+51,1.5424418303070113e+51,0.007376835476315808,0.008045103391817486,0.03875796565436275,0.15411491040649591,0.006010412958618218,0.006555840960583023,2.338228699725039e-05,0.000297341416143086,0.00099041366550704,0.012678515210439731,0.004773131776494817,8.755886448049198,0.06093179166792311,0.06718242610029224,0.0707520727499252,0.08710949540498149,1.0019370876008917e-07,1.0019370876008917e-07,0.481310402745706,0.5355728520128924,0.02815093475681278,0.03135101545424309,0.06074498658111893,0.06714020784439864,2.0134910828390094e-05,5.0507098772418856e-05,9.725984729009552,0.7598425569538713,0.8612015068913657,0.75,1.1482686758551541,0.8585612296592844,1.6,128,10,10.0,1.471839427947998,12.75
4e+51,2.0582118505660714e+51,3.05140281922398e+51,0.03405780528700206,0.034726073202503725,0.03841723975925315,0.15377353879718142,0.015021086457487997,0.0155665144594528,9.03282580288544e-05,0.00036428738717469007,0.0009820101867484088,0.012670111731681099,0.004222574282778738,8.755310792955827,0.05823960169723024,0.06449662587361356,0.06267163442237896,0.07913996012578822,1.6917109975106845e-05,1.6917109975106845e-05,0.42985319853983983,0.4840240763249995,0.0563548411016568,0.05955492181428394,0.059668877758062254,0.06606411410421673,0.0002464470805271305,0.00027681926847115924,9.725984729009552,0.7598425569538713,0.9292816795668869,0.75,1.2390422394225158,0.9520874684058906,1.6,128,10,10.0,4.103580951690674,12.75
