t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
2.9199831787e+00,-7.4360424645e-04,8.8789498559e-04,1.4563225118e-03,-1.4469776187e-03,5.7087814661e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9217109804e+00,-7.1268665529e-04,9.1649482137e-04,1.4391845062e-03,-1.4159061933e-03,5.6214637093e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9234387821e+00,-6.8160294678e-04,9.4443310442e-04,1.4203555035e-03,-1.3847764524e-03,5.5326557022e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9251665838e+00,-6.5037372764e-04,9.7168619457e-04,1.3998428636e-03,-1.3536519527e-03,5.4425734733e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9268943855e+00,-6.1901722496e-04,9.9823200700e-04,1.3776659062e-03,-1.3225923858e-03,5.3514205082e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9286221872e+00,-5.8754923381e-04,1.0240501640e-03,1.3538539117e-03,-1.2916525624e-03,5.2593906902e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9303499890e+00,-5.5598310381e-04,1.0491221333e-03,1.3284440215e-03,-1.2608817721e-03,5.1666706711e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9320777907e+00,-5.2432967514e-04,1.0734313285e-03,1.3014791481e-03,-1.2303234818e-03,5.0734417009e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9338055924e+00,-4.9259740900e-04,1.0969631503e-03,1.2730059781e-03,-1.2000153102e-03,4.9798809793e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9355333941e+00,-4.6079276444e-04,1.1197050269e-03,1.2430731381e-03,-1.1699892038e-03,4.8861626074e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9372611959e+00,-4.2892061976e-04,1.1416465351e-03,1.2117295664e-03,-1.1402717444e-03,4.7924582229e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9389889976e+00,-3.9698466885e-04,1.1627795057e-03,1.1790231180e-03,-1.1108845189e-03,4.6989373935e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9407167993e+00,-3.6498780146e-04,1.1830980586e-03,1.1449994128e-03,-1.0818444958e-03,4.6057678339e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9424446011e+00,-3.3293240140e-04,1.2025985332e-03,1.1097009191e-03,-1.0531643531e-03,4.5131154894e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9441724028e+00,-3.0082056632e-04,1.2212793434e-03,1.0731662565e-03,-1.0248527678e-03,4.4211445206e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9459002045e+00,-2.6865425559e-04,1.2391409972e-03,1.0353923645e-03,-9.9691467848e-04,4.3300172037e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9476280063e+00,-2.3643534960e-04,1.2561863365e-03,9.9636583907e-04,-9.6935148957e-04,4.2398937623e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9493558080e+00,-2.0416567976e-04,1.2724205664e-03,9.5610691353e-04,-9.4216117841e-04,4.1509321419e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9510836098e+00,-1.7184707670e-04,1.2878509971e-03,9.1465521020e-04,-9.1533828002e-04,4.0641514670e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9528114115e+00,-1.3948144570e-04,1.3024867079e-03,8.7205994405e-04,-8.8887375105e-04,3.9793936838e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9545392133e+00,-1.0707086916e-04,1.3163382776e-03,8.2837340072e-04,-8.6275473556e-04,3.8961931003e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9562670150e+00,-7.4617733765e-05,1.3294181160e-03,7.8364675643e-04,-8.3696427080e-04,3.8143373690e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9579948167e+00,-4.2124870202e-05,1.3417411129e-03,7.3792754980e-04,-8.1148097883e-04,3.7337816542e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9597226185e+00,-9.5956954235e-06,1.3533243120e-03,6.9125831208e-04,-7.8627879019e-04,3.6545859149e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9614504202e+00,2.2965653294e-05,1.3641856433e-03,6.4367600726e-04,-7.6132674113e-04,3.5768701693e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9631782219e+00,5.5554209301e-05,1.3743435561e-03,5.9521203619e-04,-7.3658887660e-04,3.5007828028e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9649060237e+00,8.8164092776e-05,1.3838172466e-03,5.4589263019e-04,-7.1202428214e-04,3.4264779766e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
