zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.07,13.13,4460,67021318928481.69,4.829313673983694,0.11803570000243181,1.6228296945036014,0.04805241533135782,1.340844709850646,0.04501463141100383,0.03918415767489875,0.2828034277433915,0.8704760307183185,6.28247791615284,0.21091437782895264,1.6234785382415018,3.623758279354578
16.08,13.31,4469,66307687421512.92,4.80123681748253,0.11953867622736901,1.5978668076356255,0.05018209004088931,1.3491711891812856,0.0302971260419917,0.039002991234382056,0.2897790224429638,1.2873495387095153,9.564571307566638,0.21478299030296497,1.5984441030313992,3.6020411238163095
16.09,12.77,4450,68601474750050.04,4.927733626518107,0.20630230753250797,1.6671654496704076,0.08956846766413133,1.0607811505825195,0.26974507120059027,0.047347591726643094,0.002823059843180395,0.17552718022207736,0.010465658670297208,0.002661302797122794,2.1507818268332204,3.7016308529228046
16.1,12.95,4458,67947687111340.24,4.890002417086244,0.1902323972037203,1.6480670354940679,0.08063498361264654,1.2067900611237383,0.2283761478747988,0.04227382869147487,0.1900954813950164,0.18510614652564497,0.83237887653325,0.15752158351221698,1.6944853308274903,3.6737571383366543
16.11,12.82,4460,68461305287573.32,4.9214932496206325,0.20814578339764545,1.6846306366127493,0.09179259435329151,1.0678539261902082,0.2735075137385156,0.04909461675498579,0.0029637488374026247,0.17950006595402807,0.010836078310580125,0.0027754253317927267,2.1460966721218084,3.70113093533535
16.12,13.27,4479,66892332132857.03,4.832582234034334,0.1903023625091577,1.636353703143425,0.08244024000412017,1.1256589201674798,0.24550756704912113,0.04239991300040743,0.13568861888679,0.17270308003143567,0.5526860964722992,0.12054150369687626,1.811612288162511,3.6296748321015184
16.13,12.86,4467,68316097884878.46,4.923240123770825,0.20658105496825377,1.676731871096842,0.09097119434226864,1.075203615526997,0.27062754071599665,0.04855901420292364,0.002945353572491793,0.17943116238078183,0.010883421416383933,0.0027393449296096036,2.143424920111718,3.707401608093967
16.14,13.48,4493,66265937142759.65,4.8000734745528195,0.11332689327422268,1.610018651446915,0.04629286736811032,1.3258562311354016,0.038646452764016306,0.039617782918991866,0.2858160703940899,1.025133746709089,7.395661178513468,0.21557093724206455,1.6106208533770277,3.602621966972254
16.15,13.11,4479,67589908241124.23,4.880983329727594,0.20148889686430063,1.653782887612572,0.08802159634529474,1.0810631395590282,0.26403857204262077,0.044522215543593084,0.05223967340336693,0.16862011939833688,0.1978486438524386,0.04832249985387143,2.0229393495157018,3.6696292498714596
16.16,13.35,4491,66817727260948.13,4.836814187894589,0.11815851743227966,1.6260904953315836,0.04772433374813446,1.3382325023378985,0.04537872040382685,0.058076355981992664,0.28065334494359717,1.2798147560171178,6.184690587263216,0.20971942054410908,1.626755565398098,3.6355823027764176
