mode,rho_cut,y,rho,N2
rescaled_domain,0.01,0.9901899829374047,0.01265955836118889,22.111475991950048
rescaled_domain,0.01,0.9931806517013612,0.011833934223334014,23.001687028907778
rescaled_domain,0.01,0.9956320346634876,0.011174435347880074,23.79089893783202
rescaled_domain,0.01,0.9975414512725057,0.010671548946563983,24.446797887989792
rescaled_domain,0.01,0.9989068136093873,0.010317773808515566,24.939913742720485
rescaled_domain,0.01,0.999726628670463,0.010107692957355849,25.24628792485624
rescaled_domain,0.01,1.0,0.010038031330520206,25.35025437124815
rescaled_domain,0.02,0.0,1.0,5.9834302419403684e-06
rescaled_domain,0.02,0.0002733713295369755,0.9999997920492075,0.0015153965617735665
rescaled_domain,0.02,0.0010931863906127326,0.9999966942220606,0.006041952235985467
rescaled_domain,0.02,0.002458548727494292,0.9999832983074946,0.013580563667259373
rescaled_domain,0.02,0.004367965336512403,0.9999473033532246,0.024122763172507482
rescaled_domain,0.02,0.006819348298638839,0.9998715860429351,0.037656695802358996
rescaled_domain,0.02,0.009810017062595322,0.9997343017271724,0.0541671209665379
rescaled_domain,0.02,0.013336701375997129,0.9995090184986034,0.07363541216642917
rescaled_domain,0.02,0.017395544861325718,0.9991648872190364,0.09604173156331818
rescaled_domain,0.02,0.02198210923282118,0.9986668295606246,0.12137265930988442
rescaled_domain,0.02,0.02709137914968268,0.9979757017510388,0.14958722419456907
rescaled_domain,0.02,0.03271776770026952,0.9970489346759599,0.18066067819291587
rescaled_domain,0.02,0.03885512251130763,0.995840264992012,0.21456929549094994
rescaled_domain,0.02,0.045496732475418855,0.9943007909128001,0.251263286582816
rescaled_domain,0.02,0.05263533508961826,0.9923789354305477,0.29071783522770894
rescaled_domain,0.02,0.06026312439675552,0.990021142023774,0.3328959479956652
rescaled_domain,0.02,0.06837175952121305,0.9871723140470472,0.37775460478707873
rescaled_domain,0.02,0.07695237378953235,0.9837766127465368,0.42525298506399545
rescaled_domain,0.02,0.08599558442598998,0.9797778322043297,0.4753512255033592
rescaled_domain,0.02,0.09549150281252633,0.9751203661636376,0.5280016405564099
rescaled_domain,0.02,0.10542974530180327,0.9697497765136539,0.5831612693335624
rescaled_domain,0.02,0.11579944457157043,0.9636136579586524,0.6407880423425457
rescaled_domain,0.02,0.1265892615079232,0.9566623024928723,0.7008346459269925
rescaled_domain,0.02,0.13778739760445552,0.9488497595032552,0.7632560845178679
rescaled_domain,0.02,0.1493816078637557,0.9401343312541354,0.8280087368811381
rescaled_domain,0.02,0.16135921418712956,0.9304796892630227,0.895047013708412
rescaled_domain,0.02,0.17370711923791565,0.9198553554961106,0.9643289650639718
rescaled_domain,0.02,0.18641182076323148,0.9082376703335376,1.0358141960158986
rescaled_domain,0.02,0.19945942635848746,0.8956101761425309,1.1094610674559116
rescaled_domain,0.02,0.2128356686585282,0.8819645561623126,1.185231559004484
rescaled_domain,0.02,0.22652592093878665,0.867300689249657,1.2630955915545072
rescaled_domain,0.02,0.2405152131093924,0.8516273348644348,1.3430176986372309
rescaled_domain,0.02,0.2547882480847459,0.8349622403984821,1.4249718802775546
rescaled_domain,0.02,0.26932941851065617,0.8173322395171078,1.50893582033114
rescaled_domain,0.02,0.2841228238307536,0.7987732267679245,1.5948913356258028
rescaled_domain,0.02,0.29915228767351537,0.7793299645704691,1.6828292058049539
rescaled_domain,0.02,0.31440137554088965,0.7590556582209245,1.7727425319323729
rescaled_domain,0.02,0.32985341277917846,0.7380116505715335,1.8646321116627451
rescaled_domain,0.02,0.34549150281252644,0.7162665791315452,1.958510634933721
rescaled_domain,0.02,0.3612985456190778,0.6938957467832136,2.054397657503914
rescaled_domain,0.02,0.37725725642960045,0.6709801594392144,2.1523232977069755
rescaled_domain,0.02,0.39335018462812665,0.6476056318678437,2.2523266800618336
rescaled_domain,0.02,0.4095597328339451,0.6238617002793888,2.3544613163469967
rescaled_domain,0.02,0.42586817614407896,0.599840509219632,2.4587939303894113
rescaled_domain,0.02,0.44225768151520706,0.5756356946358461,2.565404601785489
rescaled_domain,0.02,0.4587103272638339,0.5513412554614231,2.6743892143984023
rescaled_domain,0.02,0.4752081226633889,0.5270504250150697,2.785860922434748
rescaled_domain,0.02,0.49173302761682075,0.502854603079084,2.89995103516694
rescaled_domain,0.02,0.5082669723831792,0.4788423418067249,3.016810711952648
rescaled_domain,0.02,0.5247918773366113,0.455098419232828,3.136612161931675
rescaled_domain,0.02,0.5412896727361662,0.4317030103095355,3.2595505713518103
rescaled_domain,0.02,0.5577423184847932,0.4087309630640173,3.3858469111709013
rescaled_domain,0.02,0.574131823855921,0.38625118515199874,3.515745612598745
rescaled_domain,0.02,0.5904402671660549,0.36432622184244495,3.649522205919466
rescaled_domain,0.02,0.6066498153718736,0.3430118088021779,3.787484683657444
rescaled_domain,0.02,0.6227427435703996,0.32235672920438274,3.929966319353292
rescaled_domain,0.02,0.6387014543809224,0.30240270774058003,4.077336846854696
rescaled_domain,0.02,0.6545084971874737,0.2831843885036053,4.230010541455401
rescaled_domain,0.02,0.6701465872208214,0.26472940599248795,4.388434124352521
rescaled_domain,0.02,0.6855986244591104,0.2470587094402935,4.553094605671913
rescaled_domain,0.02,0.7008477123264848,0.23018673165019277,4.724517687400841
rescaled_domain,0.02,0.7158771761692464,0.21412189618444136,4.903281835192879
rescaled_domain,0.02,0.7306705814893439,0.19886680635524107,5.090019034262444
rescaled_domain,0.02,0.745211751915254,0.1844188978718353,5.285389989115228
rescaled_domain,0.02,0.7594847868906076,0.17077083592756384,5.490116100440187
rescaled_domain,0.02,0.7734740790612136,0.15791101980204844,5.704963355704074
rescaled_domain,0.02,0.7871643313414718,0.14582410448915195,5.930740478845751
rescaled_domain,0.02,0.8005405736415125,0.134491500021269,6.168322424840386
rescaled_domain,0.02,0.8135881792367685,0.1238917788706357,6.418592484695706
rescaled_domain,0.02,0.8262928807620843,0.11400136063426737,6.6824762562591085
rescaled_domain,0.02,0.8386407858128706,0.10479468691458578,6.960938641977811
rescaled_domain,0.02,0.8506183921362442,0.09624487315974461,7.254926282691976
rescaled_domain,0.02,0.8622126023955445,0.08832393303100346,7.565377816137142
rescaled_domain,0.02,0.873410738492077,0.08100327674809588,7.89319543104031
rescaled_domain,0.02,0.8842005554284296,0.07425387585605449,8.239199055577995
rescaled_domain,0.02,0.8945702546981968,0.06804672258291611,8.604079264904792
rescaled_domain,0.02,0.9045084971874737,0.06235292011292338,8.98837615307391
rescaled_domain,0.02,0.91400441557401,0.0571440345333138,9.392337599874036
rescaled_domain,0.02,0.9230476262104677,0.052392221875634054,9.815889887928266
rescaled_domain,0.02,0.9316282404787869,0.0480704402279808,10.258571352740013
rescaled_domain,0.02,0.9397368756032445,0.04415251465085158,10.719333663495435
rescaled_domain,0.02,0.9473646649103817,0.04061338540390998,11.19646172162844
rescaled_domain,0.02,0.9545032675245813,0.03742908734471632,11.687500977590863
rescaled_domain,0.02,0.9611448774886924,0.03457693200449425,12.189016092912551
rescaled_domain,0.02,0.9672822322997304,0.032035539428039585,12.696390500027864
rescaled_domain,0.02,0.9729086208503173,0.029784998610311014,13.204190944066726
rescaled_domain,0.02,0.9780178907671788,0.027806725161560516,13.705559392357323
rescaled_domain,0.02,0.9826044551386743,0.026083813800780693,14.192447062165748
rescaled_domain,0.02,0.9866632986240029,0.02460083320625311,14.656152931602833
rescaled_domain,0.02,0.9901899829374047,0.023344034252136193,15.086774702623991
rescaled_domain,0.02,0.9931806517013612,0.022301368710054944,15.474131671769124
rescaled_domain,0.02,0.9956320346634876,0.021462534061406736,15.808140673280603
rescaled_domain,0.02,0.9975414512725057,0.02081902330751374,16.079350325826375
rescaled_domain,0.02,0.9989068136093873,0.020364169186777827,16.27955391746829
rescaled_domain,0.02,0.999726628670463,0.020093181107766804,16.402379486827506
rescaled_domain,0.02,1.0,0.02000317307311117,16.443783881254145
rescaled_domain,0.05,0.0,1.0,6.0790355405515584e-05
rescaled_domain,0.05,0.0002733713295369755,0.9999998070866171,0.0013505750497153344
rescaled_domain,0.05,0.0010931863906127326,0.9999971143661236,0.005218217880371026
rescaled_domain,0.05,0.002458548727494292,0.9999855925999666,0.011682172413321989
rescaled_domain,0.05,0.004367965336512403,0.9999546260948162,0.020748214550739868
rescaled_domain,0.05,0.006819348298638839,0.9998895114622021,0.032397618411863276
rescaled_domain,0.05,0.009810017062595322,0.9997713543697012,0.046614654247164024
rescaled_domain,0.05,0.013336701375997129,0.9995774886106349,0.06337362505520591
