omega_dt,alpha_amp,rho_G,coupling
0.06067796610169492,0.38135593220338987,1.0000034110574982,imaginary
0.06067796610169492,0.4067796610169492,1.0000038441830417,imaginary
0.06067796610169492,0.4322033898305085,1.0000043111966086,imaginary
0.06067796610169492,0.4576271186440678,1.000004813708207,imaginary
0.06067796610169492,0.48305084745762716,1.0000053533658533,imaginary
0.06067796610169492,0.5084745762711864,1.0000059318557926,imaginary
0.06067796610169492,0.5338983050847458,1.000006550902705,imaginary
0.06067796610169492,0.5593220338983051,1.0000072122699368,imaginary
0.06067796610169492,0.5847457627118644,1.0000079177597254,imaginary
0.06067796610169492,0.6101694915254238,1.0000086692134345,imaginary
0.06067796610169492,0.6355932203389831,1.000009468511792,imaginary
0.06067796610169492,0.6610169491525424,1.0000103175751356,imaginary
0.06067796610169492,0.6864406779661018,1.0000112183636651,imaginary
0.06067796610169492,0.7118644067796611,1.0000121728776996,imaginary
0.06067796610169492,0.7372881355932204,1.0000131831579369,imaginary
0.06067796610169492,0.7627118644067797,1.0000142512857275,imaginary
0.06067796610169492,0.788135593220339,1.0000153793833475,imaginary
0.06067796610169492,0.8135593220338984,1.0000165696142747,imaginary
0.06067796610169492,0.8389830508474577,1.000017824183481,imaginary
0.06067796610169492,0.864406779661017,1.0000191453377245,imaginary
0.06067796610169492,0.8898305084745763,1.000020535365843,imaginary
0.06067796610169492,0.9152542372881356,1.0000219965990698,imaginary
0.06067796610169492,0.940677966101695,1.0000235314113348,imaginary
0.06067796610169492,0.9661016949152543,1.0000251422195894,imaginary
0.06067796610169492,0.9915254237288136,1.0000268314841243,imaginary
0.06067796610169492,1.0169491525423728,1.0000286017089086,imaginary
0.06067796610169492,1.0423728813559323,1.000030455441918,imaginary
0.06067796610169492,1.0677966101694916,1.0000323952754875,imaginary
0.06067796610169492,1.0932203389830508,1.000034423846651,imaginary
0.06067796610169492,1.1186440677966103,1.0000365438375114,imaginary
0.06067796610169492,1.1440677966101696,1.0000387579755932,imaginary
0.06067796610169492,1.1694915254237288,1.000041069034217,imaginary
0.06067796610169492,1.1949152542372883,1.00004347983288,imaginary
0.06067796610169492,1.2203389830508475,1.0000459932376378,imaginary
0.06067796610169492,1.2457627118644068,1.0000486121614944,imaginary
